time,alive_grass,alive_herbivores,alive_predators,herbivore_hp_pool,predator_hp_pool,predator_mana,herbivore_mana,total_creature_mana,corpse_mana,field_mana,attack_gain,magic_gain,grass_gain,field_gain,corpse_gain,mana_spent,death_release,expected_phase_ups
131.0,100,0,10,0.0,550.0,3992.5000000000005,0.0,3992.5000000000005,0.0,2690.0,1050.0,0.0,0.0,1711.0,0.0,367.5000000000001,3401.0,0.65
132.0,100,0,10,0.0,550.0,4002.5000000000005,0.0,4002.5000000000005,0.0,2680.0,1050.0,0.0,0.0,1721.0,0.0,367.5000000000001,3401.0,0.65
133.0,100,0,10,0.0,550.0,4012.5000000000005,0.0,4012.5000000000005,0.0,2670.0,1050.0,0.0,0.0,1731.0,0.0,367.5000000000001,3401.0,0.65
134.0,100,0,10,0.0,550.0,4022.5000000000005,0.0,4022.5000000000005,0.0,2660.0,1050.0,0.0,0.0,1741.0,0.0,367.5000000000001,3401.0,0.65
135.0,100,0,10,0.0,550.0,4032.5000000000005,0.0,4032.5000000000005,0.0,2650.0,1050.0,0.0,0.0,1751.0,0.0,367.5000000000001,3401.0,0.65
136.0,100,0,10,0.0,550.0,4042.5000000000005,0.0,4042.5000000000005,0.0,2640.0,1050.0,0.0,0.0,1761.0,0.0,367.5000000000001,3401.0,0.65
137.0,100,0,10,0.0,550.0,4052.5000000000005,0.0,4052.5000000000005,0.0,2630.0,1050.0,0.0,0.0,1771.0,0.0,367.5000000000001,3401.0,0.65
138.0,100,0,10,0.0,550.0,4062.5000000000005,0.0,4062.5000000000005,0.0,2620.0,1050.0,0.0,0.0,1781.0,0.0,367.5000000000001,3401.0,0.65
139.0,100,0,10,0.0,550.0,4072.5000000000005,0.0,4072.5000000000005,0.0,2610.0,1050.0,0.0,0.0,1791.0,0.0,367.5000000000001,3401.0,0.65
140.0,100,0,10,0.0,550.0,4082.5000000000005,0.0,4082.5000000000005,0.0,2600.0,1050.0,0.0,0.0,1801.0,0.0,367.5000000000001,3401.0,0.7000000000000001
141.0,100,0,10,0.0,550.0,4092.5000000000005,0.0,4092.5000000000005,0.0,2590.0,1050.0,0.0,0.0,1811.0,0.0,367.5000000000001,3401.0,0.7000000000000001
142.0,100,0,10,0.0,550.0,4102.5,0.0,4102.5,0.0,2580.0,1050.0,0.0,0.0,1821.0,0.0,367.5000000000001,3401.0,0.7000000000000001
143.0,100,0,10,0.0,550.0,4112.5,0.0,4112.5,0.0,2570.0,1050.0,0.0,0.0,1831.0,0.0,367.5000000000001,3401.0,0.7000000000000001
144.0,100,0,10,0.0,550.0,4122.5,0.0,4122.5,0.0,2560.0,1050.0,0.0,0.0,1841.0,0.0,367.5000000000001,3401.0,0.7000000000000001
145.0,100,0,10,0.0,550.0,4132.5,0.0,4132.5,0.0,2550.0,1050.0,0.0,0.0,1851.0,0.0,367.5000000000001,3401.0,0.7000000000000001
146.0,100,0,10,0.0,550.0,4142.5,0.0,4142.5,0.0,2540.0,1050.0,0.0,0.0,1861.0,0.0,367.5000000000001,3401.0,0.7000000000000001
147.0,100,0,10,0.0,550.0,4152.5,0.0,4152.5,0.0,2530.0,1050.0,0.0,0.0,1871.0,0.0,367.5000000000001,3401.0,0.7000000000000001
148.0,100,0,10,0.0,550.0,4162.5,0.0,4162.5,0.0,2520.0,1050.0,0.0,0.0,1881.0,0.0,367.5000000000001,3401.0,0.7000000000000001
149.0,100,0,10,0.0,550.0,4172.5,0.0,4172.5,0.0,2510.0,1050.0,0.0,0.0,1891.0,0.0,367.5000000000001,3401.0,0.7000000000000001
